babyname,sex,origin
Kyreena,girl,Greek
Chaunsey,boy,British
Helier,boy,Latin
Shlomit,girl,Unknown
Affricah,girl,Celtic
Shontal,girl,French
Ocean,girl,Unknown
Shealee,girl,Unknown
Darrylynn,girl,British
Isreal,boy,Unknown
Eliane,girl,Hebrew
Jahna,girl,Unknown
Tanguy,boy,Unknown
Loganne,girl,Unknown
Jilliann,girl,Unknown
Kurstin,girl,Unknown
Consuela,girl,Latin
Jahan,boy,Sanskrit
Arbela,girl,Latin
Favio,boy,Irish
Jaquille,boy,American
Kenner,boy,British
Donette,girl,British
Sarajean,girl,Hebrew
Meryle,girl,British
Beverlye,girl,British
Aimone,boy,German
Syma,girl,Greek
Pitia,boy,Unknown
Sherilyn,girl,American
Fae,girl,French
Brienne,girl,Irish
Debrah,girl,Hebrew
Sherley,girl,Unknown
Kanta,girl,Unknown
Dugal,boy,Celtic
Tatianus,boy,Unknown
Yudell,boy,British
Stedman,boy,British
Carlinda,girl,German
Jilleen,girl,Unknown
Howlan,boy,British
Cloyd,boy,Unknown
Dotty,girl,Greek
Dhara,girl,Indian
Ditzah,girl,Hebrew
Keiana,girl,American
Arseenio,boy,Spanish
Morwyn,girl,Welsh
Mikell,boy,Hebrew
Marralynn,girl,British
Londa,girl,Unknown
Haws,boy,British
Daneardt,boy,British
Ilias,boy,Greek
Balduin,boy,German
Aracelia,girl,Latin
Laqueen,girl,Unknown
Tiphany,girl,Unknown
Zubah,girl,Hebrew
DeMarko,boy,American
Izaiah,boy,Hebrew
Latania,girl,Latin
Breeanna,girl,Irish
Orenthal,boy,Irish
Jareika,girl,Unknown
Faun,girl,French
Carietta,girl,Unknown
Sabrina,girl,Celtic
Clerisse,girl,Latin
Clairissa,girl,Latin
Adalbert,boy,German
Chretien,boy,Latin
Cornelio,boy,Latin
Matthaus,boy,Hebrew
Doortje,girl,Greek
Katrionagh,girl,Greek
Katie,girl,British
Igal,boy,Unknown
Mannton,boy,British
Braddock,boy,British
Erminie,girl,German
Rivke,girl,Unknown
Cormack,boy,Irish
Carlyna,girl,German
Sherez,girl,French
Apollonius,boy,Spanish
Umed,boy,Indian
Yarden,boy,Unknown
Gwenny,girl,Welsh
Phedre,girl,Greek
Tessica,girl,Hebrew
Santigo,boy,Spanish
Kanjanaa,girl,Unknown
Cherylle,girl,Greek
Ingrams,boy,Scandinavian
Lourdette,girl,French
Ondrej,boy,Greek
Sainsberry,boy,British
Donata,girl,Latin
Wolfert,boy,German
Jestina,girl,Welsh
Dervla,girl,Irish
Ruan,boy,Unknown
Caranda,girl,Latin
Cherrill,girl,Greek
Kekoa,boy,Unknown
Char,girl,German
Eigidio,boy,Italian
Jocasta,girl,Unknown
Bridger,boy,British
Undeen,girl,Latin
Naoto,boy,Unknown
Gipsy,girl,British
Fargo,boy,American
Gerrie,girl,Unknown
Allura,girl,French
Demarkus,boy,Unknown
Mileena,girl,Slavic
Lashell,girl,Unknown
Belita,girl,Spanish
Axill,boy,Hebrew
Ido,boy,Hebrew
Meirav,girl,Unknown
Nyada,girl,Greek
Chanok,boy,Hebrew
Espen,boy,Unknown
Barkley,boy,Scottish
Ayanna,girl,Swahili
Herwin,boy,Unknown
Ayisha,girl,Arabic
Eulalio,boy,Unknown
Ghayth,boy,Unknown
Morpheus,boy,Unknown
Azria,boy,Hebrew
Conroy,boy,Irish
Jafar,boy,Arabic
Salima,girl,Hebrew
Jonisa,girl,American
Thelmalina,girl,Unknown
Virgen,girl,Unknown
Sherricka,girl,Unknown
Mekenzie,girl,Unknown
Spiridon,boy,Greek
Kinzee,girl,British
Macmahon,boy,Irish
Irv,boy,Gaelic
Liesje,girl,Unknown
Rubino,boy,Spanish
Alphonsus,boy,Spanish
Treva,girl,Welsh
Kita,girl,Unknown
Darrylyn,girl,British
Javonte,boy,American
Natalle,girl,Latin
Langworth,boy,British
Sharika,girl,Unknown
Taneli,boy,Unknown
Kahua,boy,Unknown
Winslow,boy,British
Stig,boy,Norse
Victoriya,girl,Unknown
Carilis,girl,German
Aegeus,boy,Greek
Trinya,girl,Unknown
Tatijana,girl,Russian
Mandalynn,girl,Unknown
Berberia,girl,Latin
Claudiane,girl,Latin
Katelyn,girl,Greek
Skylor,boy,Danish
Kashmir,girl,Sanskrit
Jezabel,girl,Hebrew
Vandyke,boy,Danish
Anci,girl,Hebrew
Caitlinn,girl,Greek
Colm,boy,Latin
Mitsuo,boy,Unknown
Danna,girl,British
Dorthy,girl,Greek
Roselyn,girl,German
Kinsley,boy,British
Ernest,boy,German
Lenita,girl,Latin
Nadeche,girl,Unknown
Niquole,girl,Greek
Indyo,boy,Unknown
Abiodun,boy,African
Giovannia,girl,Unknown
Klaryce,girl,Latin
Zerach,boy,Hebrew
Ingbert,boy,Unknown
Jisela,girl,American
Cael,boy,British
Lorell,girl,Unknown
Lorena,girl,Unknown
Adelina,girl,Latin
Brannt,boy,British
Belton,boy,British
Lashunda,girl,Unknown
Olaf,boy,Norse
Breezy,girl,Latin
Quiller,boy,British
Bronya,girl,Russian
Adelice,girl,German
Rhonnda,girl,Welsh
Kathlin,girl,Irish
Worth,boy,British
Cynwrig,boy,Unknown
Dominizia,girl,Latin
Kailie,girl,Irish
Lucianna,girl,Latin
Ellfreeda,girl,German
Silvino,boy,Latin
Teutorix,boy,Unknown
Ber,boy,Hebrew
Shastina,girl,Native American
Demitras,girl,Greek
Kadin,boy,Arabic
Zara,girl,Arabic
Theophilia,girl,Unknown
Joleta,girl,Latin
Garvan,boy,British
Krister,boy,Latin
Tiferet,girl,Hebrew
Meilyr,boy,Welsh
Imperia,girl,Latin
Beall,boy,French
Branndie,girl,British
Sanderson,boy,British
Numbers,boy,Unknown
Rozamond,girl,German
Janecka,girl,Unknown
Olov,boy,Norse
Haifa,girl,Arabic
Demaras,girl,Latin
Urbanna,girl,Latin
Jezika,girl,Hebrew
Jabr,boy,Unknown
Cortneigh,girl,French
Knightley,boy,British
Rora,girl,Latin
Evanthey,girl,Greek
Lucian,boy,Latin
Othman,boy,German
Saturnus,boy,Unknown
Lissie,girl,Hebrew
Cokelie,boy,British
Kamelia,girl,Unknown
Eveline,girl,Latin
Lilian,girl,Latin
Najia,girl,Unknown
Fulande,girl,Unknown
Graziella,girl,Latin
Kiely,girl,Unknown
Harthy,boy,British
Raymon,boy,Spanish
Pallmirah,girl,Latin
Yukiyo,boy,Unknown
Rafiq,boy,Arabic
Monca,girl,Unknown
Muhammed,boy,Arabic
Chrissantha,girl,Spanish
Edmea,girl,British
Ardia,girl,Latin
Twyford,boy,British
Garric,boy,Unknown
Jenkin,boy,Dutch
Demian,boy,Greek
Nakesha,girl,Unknown
Samman,boy,Unknown
Marybell,girl,Latin
Margaret,girl,Greek
Jamile,boy,Arabic
Hamilton,boy,British
Liandro,boy,Greek
Zebedee,boy,Hebrew
Belisarius,boy,Spanish
Vernicka,girl,Latin
Valarae,girl,Unknown
Dilan,boy,Irish
Asid,boy,Arabic
Gislaine,girl,French
Valarey,girl,Latin
Claudetta,girl,Latin
Ngozi,boy,Unknown
Giorgius,boy,Greek
Tesa,girl,Greek
Mihalia,girl,Hebrew
Merlinn,boy,Welsh
Catrin,girl,Greek
Perrine,girl,Greek
Willfrid,boy,British
Jordina,girl,Unknown
Huntington,boy,British
Gonzalo,boy,Spanish
Moraia,girl,Hebrew
Judiann,girl,Unknown
Nicolas,boy,Greek
Nadirah,girl,Arabic
Sondya,girl,British
Montie,boy,French
Ambie,boy,Greek
Ewa,girl,Unknown
Chianna,girl,Native American
Elberthe,girl,British
Lillibet,girl,British
Libor,boy,Unknown
Ussher,boy,Latin
Mikhaila,girl,Hebrew
Gilberthe,girl,German
Gradey,boy,Irish
Jozette,girl,British
Lethia,girl,Greek
Chassie,girl,Latin
Alexios,boy,Greek
Elyette,girl,Hebrew
Glinys,girl,Welsh
Ebby,boy,Hebrew
Neka,girl,Native American
Lynnette,girl,Welsh
Jennings,boy,Dutch
Armino,boy,German
Gerhard,boy,German
Mihaliya,girl,Hebrew
Taralyn,girl,Sanskrit
Lamis,girl,Unknown
Airel,boy,Hebrew
Zac,boy,Unknown
Onorine,girl,Unknown
Selima,girl,Arabic
Bennet,boy,Latin
Anastasha,girl,Greek
Evgueni,boy,Unknown
Danniell,girl,Hebrew
Aminah,girl,Arabic
Mukhtar,boy,Unknown
Willfred,boy,British
Elfre,girl,German
Elaini,girl,Greek
Sukoji,girl,Unknown
Beven,boy,Welsh
Just,boy,Latin
Kentaro,boy,Japanese
Buford,boy,British
Amad,boy,Arabic
Kenna,girl,American
Parken,boy,British
Korie,girl,Irish
Kort,boy,Danish
Clairy,girl,Latin
Nicas,boy,Unknown
Anikee,girl,Hebrew
Lashawna,girl,British
Townly,boy,British
Bertine,girl,German
Murchad,boy,Unknown
Afraima,girl,Hebrew
Tahiyya,girl,Unknown
Margi,girl,French
Itzak,boy,Hebrew
Lodewijk,boy,Unknown
Cedra,girl,British
Dannielle,girl,Hebrew
Odele,girl,Greek
Neilan,boy,Irish
Kirone,boy,Unknown
Myka,girl,Hebrew
Acer,boy,British
Tashi,girl,Russian
Charice,girl,Greek
Fuensanta,girl,Spanish
Macaela,girl,Hebrew
Daanelle,girl,Hebrew
Farrleigh,boy,British
Ackerlea,boy,British
Landry,boy,British
Eustachius,boy,Greek
Kirkland,boy,British
Chrisstina,girl,Latin
Goderick,boy,British
Kascey,girl,American
Khuong,boy,Unknown
Erlina,girl,British
Fagan,boy,Irish
Bishvajit,boy,Indian
Whittany,girl,British
Portiea,girl,Unknown
Caralea,girl,Latin
Giardeena,girl,Unknown
Kolleen,girl,Gaelic
Merrik,boy,Unknown
Kotrijna,girl,Unknown
Nazneen,girl,Persian
Charles,boy,German
Fabianno,boy,Latin
Elmo,boy,Latin
Eriberto,boy,Unknown
Vasant,boy,Unknown
Alfredas,boy,British
Marlane,girl,German
Delia,girl,Greek
Blaney,boy,Gaelic
Casmir,boy,Slavic
Arnell,boy,German
Claudon,boy,Latin
Hakim,boy,Arabic
Cheryle,girl,Greek
Roark,boy,Gaelic
Calogeros,boy,Italian
Tallan,boy,British
Shanda,girl,French
Geovanny,boy,Italian
Reuven,boy,Hebrew
Cornell,boy,French
Ignati,boy,Unknown
Kathirin,girl,Greek
Anstasios,boy,Greek
Harvey,boy,French
Eleni,girl,Greek
Amelindah,girl,Spanish
Dakoeta,boy,Native American
Bertrum,boy,German
Fairlay,boy,British
Agilina,girl,Latin
Reinella,girl,Spanish
Rikar,boy,Unknown
Hurlburt,boy,British
Jessyca,girl,Hebrew
Lynwood,boy,Unknown
Edlinna,girl,British
Elisabeta,girl,Unknown
Matico,boy,Hebrew
Adelyn,girl,German
Aine,girl,Gaelic
Libbi,girl,Hebrew
Andreana,girl,Greek
Magli,girl,British
Nakeeta,girl,Greek
Alathea,girl,Greek
Heatherly,girl,Unknown
Jennell,girl,Unknown
Chaniel,boy,Hebrew
Hyacinthia,girl,Greek
Arnoldo,boy,German
Vivianne,girl,Latin
Yazmeen,girl,Unknown
Agnes,girl,Greek
Auriel,girl,Latin
Lindzee,girl,Unknown
Jenaro,boy,Latin
Knightlee,boy,British
Neena,girl,Indian
Cinthya,girl,Greek
Enneis,boy,Latin
Roberda,girl,German
Bolton,boy,British
Decca,girl,Greek
Marlyn,girl,German
Jimi,boy,Unknown
Chery,girl,French
Agustino,boy,Latin
Elford,boy,British
Isidore,boy,Greek
Verinique,girl,Latin
Jesirae,girl,Hebrew
Calista,girl,Latin
Josepha,girl,Hebrew
Hasheem,boy,Arabic
Barbi,girl,Latin
Elifalet,boy,Hebrew
Lendsi,girl,Unknown
Geovanni,boy,Italian
Fakhir,boy,Unknown
Jinetta,girl,Unknown
Billye,girl,British
Adelind,girl,German
Prophet,boy,Unknown
Flor,girl,Latin
Kenyon,boy,Irish
Vyomika,girl,Unknown
Pip,boy,Spanish
Aubrianne,girl,German
Ailish,girl,Irish
Jakova,girl,Unknown
Midori,girl,Japanese
Pollyanna,girl,Unknown
Silija,girl,Scandinavian
Torbert,boy,Norse
Geneve,girl,French
Hetty,girl,Persian
Columcille,boy,Irish
Marvelle,girl,Spanish
Graciella,girl,Latin
Halia,girl,Hawaiian
Goldwynn,boy,British
Remona,girl,Spanish
Pearline,girl,Latin
Bernadene,girl,German
Macarisa,girl,Spanish
Apolinary,boy,Polish
Shantille,girl,Unknown
Art,boy,Irish
Alicio,boy,Greek
Koi,boy,Unknown
Altheda,girl,Greek
Shereece,girl,French
Person,boy,British
Raedwulf,boy,Unknown
Adrie,girl,Latin
Derdre,girl,Irish
Donisha,girl,Italian
Gothart,boy,German
Watts,boy,Unknown
Pablos,boy,Spanish
Delphinus,boy,Greek
Sydonah,girl,Latin
Tameeka,girl,Unknown
Lusia,girl,Unknown
Amyra,girl,Hebrew
Yonita,girl,Hebrew
Slawomierz,boy,Unknown
Hesed,boy,Hebrew
Chelle,girl,Hebrew
Demonah,girl,Hebrew
Susannagh,girl,Hebrew
Eolande,girl,Spanish
Siegmund,boy,German
Rozalind,girl,German
Allonso,boy,Spanish
Yardena,girl,Unknown
Dominico,boy,Latin
Birdy,girl,German
Devereux,boy,French
Abdall,boy,Arabic
Emmey,girl,Latin
Menorah,girl,Hebrew
Destiney,girl,French
Hyram,boy,Hebrew
Ambroise,boy,Greek
Alouetta,girl,French
Enne,boy,Latin
Annelise,girl,Latin
Xantha,girl,Greek
Justinius,boy,Latin
Peachy,girl,Unknown
Birdine,girl,American
Garlyn,boy,French
Marchall,boy,French
Nikkolette,girl,Unknown
Aubin,boy,Latin
Rana,girl,Arabic
Karine,girl,Scandinavian
Malynda,girl,Latin
Socrates,boy,Greek
Markeith,boy,American
Kaylie,girl,Irish
Squiers,boy,British
Kaniel,boy,Hebrew
Berni,girl,Greek
Ariane,girl,Welsh
Datya,girl,Hebrew
Jennika,girl,British
Marnita,girl,Unknown
Teil,girl,British
Baibin,girl,Latin
Jonetia,girl,American
Aifrica,girl,Celtic
Glenton,boy,Scottish
Cleotilde,girl,Unknown
Yoninah,girl,Hebrew
Orrel,boy,Latin
Hermonah,girl,Hebrew
Noach,boy,Hebrew
Errol,boy,British
Ieashia,girl,Arabic
Admon,boy,Hebrew
Beaty,boy,Latin
Colum,boy,Scottish
Breda,girl,Irish
Lacreshia,girl,Unknown
Kendia,girl,Unknown
Bena,girl,Hebrew
Aria,girl,Hebrew
Benyamina,girl,Hebrew
Olivet,girl,Latin
Paza,girl,Hebrew
Alvan,boy,Latin
Orli,girl,Hebrew
Manchester,boy,British
Thellma,girl,Greek
Jancis,girl,Modern
Lubosh,boy,Unknown
Abellona,girl,Greek
Jensina,girl,Hebrew
Alisun,girl,German
Hoebart,boy,American
Flanna,girl,Irish
Messina,girl,Arabic
Lendall,boy,British
Klara,girl,Hungarian
Catroina,girl,Greek
Jesus,boy,Hebrew
Kellie,girl,Irish
Betsey,girl,Hebrew
Laraene,girl,Spanish
Alerio,boy,Arabic
Yeoman,boy,British
Gildray,boy,Irish
Sylva,girl,Latin
Krystina,girl,Scandinavian
Kusum,girl,Unknown
Abdus,boy,Arabic
Lilith,girl,Babylonian
Leeah,girl,Unknown
Sanborne,boy,British
Tamera,girl,Hebrew
Kathleyn,girl,Irish
Tahoe,boy,Native American
Thalie,girl,Greek
Benn,boy,Hebrew
Alisia,girl,German
Angelita,girl,Greek
Kerensa,girl,British
Poni,girl,Unknown
Debs,girl,Hebrew
Laurica,girl,Unknown
Ebonique,girl,Latin
Jessimiel,boy,Hebrew
Huang,boy,Unknown
Rhane,boy,Unknown
Emek,boy,Unknown
Aenya,girl,Irish
Ieki,boy,Unknown
Darko,boy,Unknown
Chastidy,girl,Latin
Edrich,boy,British
Oliveea,girl,Latin
Rufford,boy,British
Johonna,girl,Unknown
Bryttine,girl,Latin
Ismal,boy,Arabic
Wetherell,boy,British
Aldrige,boy,British
Roderiga,girl,German
Matthia,girl,Hebrew
Pheby,girl,Greek
Harinder,boy,Unknown
Grenadda,girl,Unknown
Ceciel,girl,Welsh
Willis,boy,British
Cadmar,boy,Greek
Aggy,girl,Greek
Aura,girl,Latin
Abelson,boy,Hebrew
Zephyrinus,boy,Unknown
Cearia,girl,Unknown
Mesi,girl,Unknown
Kallypso,girl,Greek
Aristokles,boy,Greek
Dedra,girl,Irish
Xinia,girl,Unknown
Lyda,girl,Slavic
Aemilianus,boy,Latin
Khalifa,boy,Unknown
Jasmaine,girl,American
Brickell,boy,German
Joanmarie,girl,Unknown
Karmita,girl,Hebrew
Cushla,girl,Irish
Benjimen,boy,Hebrew
Vidette,girl,Spanish
Adamina,girl,Hebrew
Bartolommeo,boy,Aramaic
Kelci,girl,Unknown
Quintynn,boy,British
Busby,boy,Scottish
Nichola,girl,Greek
Valerio,boy,Latin
Marijke,girl,Danish
Nykolia,girl,Greek
Panna,girl,Unknown
Vazeeliya,girl,Unknown
Wilfred,boy,British
Stiles,boy,British
Bria,girl,Irish
Rudyard,boy,British
Jenniver,girl,Welsh
Kramer,boy,German
Antuaneta,girl,Polish
Philomela,girl,Greek
Alfredo,boy,British
Sung,boy,Unknown
Cypris,girl,Greek
Alais,girl,German
Esavio,boy,Greek
Morwina,girl,Welsh
Vaneeta,girl,Greek
Sharme,girl,Unknown
Eyo,girl,Unknown
Rosamaria,girl,Unknown
Hockly,boy,British
Kinnsie,girl,British
L'Shawn,girl,Unknown
Jordena,girl,Hebrew
Lippo,boy,Spanish
Kymber,girl,Unknown
Aloess,boy,German
Penina,girl,Greek
Carilyn,girl,German
Klari,girl,Hungarian
Porshe,girl,Unknown
Cleopatra,girl,Greek
Hrodwulf,boy,Unknown
Josanna,girl,Hebrew
Esperantia,girl,Spanish
Celino,boy,Unknown
Winafred,girl,Welsh
Nimrod,boy,Hebrew
Mercator,boy,Latin
Callys,boy,Latin
Spears,boy,British
Manal,boy,Unknown
Aletha,girl,Greek
Durbin,boy,Latin
Elliner,girl,Greek
Melisandre,girl,German
Kahan,boy,Irish
Chantrea,girl,Cambodian
Akhilendra,boy,Indian
Fenja,girl,Unknown
Mathea,girl,Hebrew
Beegan,boy,Irish
Jadera,girl,Unknown
Lazrus,boy,Unknown
Tobish,girl,Hebrew
Shaquina,girl,American
Petronia,girl,Greek
Raelina,girl,Unknown
Jenissa,girl,Unknown
Suzzette,girl,Unknown
Reillie,girl,Unknown
Forsythia,girl,Unknown
Philothea,girl,Greek
Ricardo,boy,German
Edina,girl,British
Leta,girl,Latin
Joquil,girl,Unknown
Zona,girl,Latin
Dalyn,boy,American
Rydell,boy,British
Jamika,girl,American
Yorath,boy,Welsh
Rebeccah,girl,Hebrew
Pheabe,girl,Greek
Laurissa,girl,Unknown
Rainelle,girl,Unknown
Delja,girl,Polish
Trudye,girl,Unknown
Sahlma,girl,Hebrew
Jennette,girl,Scottish
Gregori,boy,Greek
Septima,girl,Latin
Blancha,girl,Italian
Abad,boy,British
Malakie,boy,Hebrew
Camrin,girl,Scottish
Tunndra,girl,Unknown
Lyle,boy,French
Raffarty,boy,Irish
Gwladus,girl,Unknown
Maybery,boy,Unknown
Terez,girl,Greek
Akamai,girl,Hawaiian
Faron,boy,British
Kikylia,girl,Welsh
Nicostrato,boy,Greek
Alann,boy,German
Dantae,boy,Spanish
Delynden,girl,American
Jessiya,girl,Hebrew
Aleksanteri,boy,Greek
Avon,boy,Celtic
Juliska,girl,Latin
Radhi,boy,Unknown
Malloree,girl,French
Avrohom,boy,Hebrew
Jady,girl,British
Walder,boy,German
Robynson,boy,German
Analissa,girl,Latin
Liorit,girl,Hebrew
Zita,girl,Greek
Naheer,boy,Hebrew
Safiya,girl,African
Rustyn,boy,British
Ilane,girl,Hebrew
Sevrin,boy,Latin
Morgayne,girl,Welsh
Jensen,boy,Scandinavian
Dorotea,girl,Greek
Lander,boy,British
Haniyya,girl,Unknown
Gerold,boy,German
Quentina,girl,Latin
Berwynn,boy,British
Violletta,girl,Latin
Montay,boy,Unknown
Farris,boy,British
Glanvill,boy,Gaelic
Marah,girl,Hebrew
Onorata,girl,Unknown
Nial,boy,Irish
Grzegorz,boy,Greek
Odessa,girl,Greek
Nikia,girl,Greek
Zefirino,boy,Spanish
Carmisha,girl,Hebrew
Truda,girl,Unknown
Caelyn,girl,Irish
Cecile,girl,Welsh
Justa,girl,Latin
Mozell,girl,Unknown
Danno,boy,Japanese
Heily,girl,Unknown
"Felicity,",girl,Unknown
Ramee,girl,Spanish
Jacenty,boy,Unknown
Zephyra,girl,Greek
Eoin,boy,Irish
Gretal,girl,Greek
Brinn,girl,Slavic
Berwin,boy,British
Leina,girl,Latin
Bing,boy,German
Maccabee,boy,Aramaic
Marney,girl,Greek
Lydie,girl,Greek
Packert,boy,Unknown
Orbel,girl,Latin
Radana,girl,Unknown
Cenerentola,girl,French
Sherilin,girl,French
Prokop,boy,Unknown
Thida,girl,German
Oralie,girl,Latin
Jillaine,girl,Unknown
Costanza,girl,Unknown
Jinnet,girl,Scottish
Sayeed,boy,Arabic
Tammee,girl,British
Mandolynne,girl,Unknown
Boid,boy,Scottish
Abdelrahman,boy,Arabic
Avrie,girl,British
Gracious,girl,Latin
Anuradha,girl,Indian
Vital,boy,Latin
Kendrea,girl,Welsh
Ishani,girl,Indian
Laetitia,girl,Latin
Denbey,boy,Scandinavian
Genelle,girl,Unknown
Coryden,boy,Greek
Kasandra,girl,Greek
Arther,boy,Celtic
Carmyta,girl,Hebrew
Olimpia,girl,Greek
Allessandra,girl,Greek
Berrie,girl,Greek
Nena,girl,Spanish
Moordred,boy,British
Nero,boy,Unknown
Avita,girl,Latin
Marsalina,girl,Latin
Rainey,girl,Unknown
Markham,boy,British
Marris,girl,Latin
Gedalio,boy,Hebrew
Chanha,girl,Hebrew
Kambria,girl,Latin
Jarrah,boy,Hebrew
Eskel,boy,Norse
Phyfe,boy,Scottish
Zoran,boy,Unknown
Tarise,girl,Unknown
Tamarai,girl,Unknown
Story,boy,Unknown
Remus,boy,Latin
Abimael,boy,Hebrew
Joyan,girl,Unknown
Linnette,girl,Welsh
Colier,boy,British
Keltonn,boy,British
Silestino,boy,Latin
Tunna,girl,Latin
Ethnea,girl,Irish
Arlee,girl,British
Chetwynd,boy,British
Netanella,girl,Hebrew
Carlton,boy,British
Jenetta,girl,Scottish
Corrick,boy,Irish
Lisel,girl,Hebrew
Whitteny,girl,Unknown
Madella,girl,Hebrew
Meeghan,girl,Gaelic
Beniamino,boy,Hebrew
Gere,boy,German
Mabelline,girl,Unknown
Lev,boy,Russian
Racheli,girl,Hebrew
Straus,boy,German
Ashlye,girl,British
Amahla,girl,Arabic
Lavra,girl,Latin
Ander,boy,Scandinavian
Juraj,boy,Unknown
Neenah,girl,Spanish
Ethelind,girl,German
Alina,girl,Armenian
Sindi,girl,Greek
Sidonius,boy,Unknown
Agape,girl,Greek
Zhaqueline,girl,French
Hiroki,boy,Unknown
Jayti,girl,Unknown
Abd al Muti,boy,Arabic
Farmer,boy,British
Alysann,girl,German
Shirit,girl,Hebrew
Judeena,girl,Hebrew
Nye,boy,Welsh
Jensson,boy,Scandinavian
Ora,girl,Latin
Yuri,boy,Russian
Dabir,boy,Unknown
Jamon,boy,American
Wazir,boy,Unknown
Vladislav,boy,Slavic
Mariska,girl,Latin
Addey,girl,German
Umberto,boy,Italian
Glenna,girl,Irish
Henrique,boy,German
Hy,boy,Unknown
Abd al Jabir,boy,Arabic
Erasmios,boy,Latin
Kadisha,girl,Arabic
Ameer,boy,Hebrew
Mykell,boy,Hebrew
Khalilah,girl,Unknown
Yuszef,boy,Hebrew
Tylor,boy,British
Jaxen,boy,British
Galbraith,boy,Irish
Andra,girl,Greek
Adalee,girl,Hebrew
Bohdana,girl,Slavic
Kassian,boy,Unknown
Jescie,girl,Unknown
Marlyse,girl,Latin
Palmiro,boy,Unknown
Janaca,girl,Unknown
Zsuzsa,girl,Hungarian
Rasheid,boy,Arabic
Jalita,girl,Unknown
Woodrow,boy,British
Selig,boy,German
Elsa,girl,Hebrew
Delinda,girl,American
Wakely,boy,British
Daljeet,boy,Unknown
Bionda,girl,Italian
Clarabel,girl,Latin
Marcille,girl,Latin
Tiphara,girl,Greek
Rylyn,girl,Unknown
Claretha,girl,Latin
Nesyah,girl,Unknown
Timmie,girl,Greek
Deekon,boy,Greek
Godfreyda,girl,German
Josquin,boy,Hebrew
Kelsye,girl,Unknown
Karmelo,boy,Italian
Gillbey,boy,Norse
Lysa,girl,Hebrew
Jesusita,girl,Unknown
Dinitia,girl,Latin
Damalis,girl,Latin
Emylee,girl,Latin
Crosbey,boy,Scandinavian
Wilburt,boy,German
Nikandreo,boy,Spanish
Jobeth,girl,Unknown
Mahlkia,girl,Unknown
Yapheth,boy,Hebrew
Yachov,boy,Hebrew
Eliyahu,boy,Hebrew
Mani,boy,Unknown
Sayer,boy,Welsh
Marchelle,girl,Latin
Florrance,girl,Latin
Sekar,boy,Unknown
Kieran,boy,Irish
Jossalin,girl,German
Hemali,girl,Unknown
Klas,boy,Unknown
Marque,boy,Latin
Farah,girl,British
Tommasa,girl,Unknown
Soichiro,boy,Unknown
Darlena,girl,British
Lilliah,girl,Unknown
Kahli,girl,Greek
Joke,girl,Unknown
Hans,boy,Scandinavian
Latiesha,girl,Unknown
Eilgin,boy,Gaelic
Katianne,girl,Unknown
Aldritch,boy,British
Vyolette,girl,Latin
Meeskaela,girl,Hebrew
Alohi,girl,Hawaiian
Parvin,girl,Unknown
Raul,boy,Spanish
Mahendra,boy,Unknown
Eyvonne,girl,French
Marston,boy,British
Laketia,girl,Unknown
Athalee,girl,Hebrew
Casper,boy,Persian
Tyberia,girl,Latin
Anthonia,girl,Latin
Shiral,girl,Greek
Keitley,girl,Unknown
Nita,girl,Spanish
Villhelmine,girl,German
Lenard,boy,German
Gilad,boy,Hebrew
Anisio,boy,Greek
Masimong,girl,Unknown
Canice,boy,Latin
Letrice,girl,Unknown
Haeli,girl,Unknown
Braddon,boy,Irish
Lehanne,girl,Unknown
Jasna,girl,Unknown
Cordi,girl,Unknown
Abnar,boy,Hebrew
Taraya,girl,Unknown
Bouvier,boy,Latin
Michi,girl,Japanese
Chanta,girl,French
Sherees,girl,French
Clairene,girl,Latin
Grantly,boy,British
Leighanne,girl,Unknown
Conradine,girl,German
Arizona,girl,American
Deren,girl,Welsh
Destan,boy,French
Perfecto,boy,Spanish
Iridiana,girl,Greek
Vireo,boy,Unknown
Kelvin,boy,British
Nwafo,boy,Unknown
Andjelka,girl,Greek
Danielle,girl,Hebrew
Roxanne,girl,Persian
Adalrick,boy,German
Jazmine,girl,Persian
Nancy,girl,Hebrew
Shanahan,boy,Irish
Gilah,girl,Hebrew
Antonije,boy,Latin
Shawnell,boy,Irish
Rayleen,girl,British
Yekaterina,girl,Russian
Eran,boy,Hebrew
Gemma,girl,Latin
Clotilde,girl,German
Brentyn,boy,British
Ab,boy,Hebrew
Prewitt,boy,French
Lisbette,girl,Hebrew
Terriella,girl,Unknown
Cowan,boy,Irish
Deli,boy,Greek
Philens,girl,Unknown
Ema,girl,German
Goliath,boy,Hebrew
Rollo,boy,Unknown
Ygraine,girl,British
Duayna,girl,Irish
Camill,girl,Latin
Carlita,girl,Latin
Ippolita,girl,Unknown
Cayci,girl,Irish
Roschella,girl,German
Cortez,boy,Spanish
Tison,boy,Unknown
Sade,girl,Nigerian
Shannae,girl,Gaelic
Bambi,girl,Italian
Colin,boy,Scottish
Marcin,boy,Unknown
Joed,boy,Hebrew
Fidelity,girl,Latin
Hanalise,girl,Hebrew
Rosena,girl,Latin
Imad,boy,Arabic
Eulalee,girl,Greek
Tahj,boy,Sanskrit
Philippos,boy,Greek
Jaslynn,girl,Persian
Valentino,boy,Latin
Jobina,girl,Hebrew
Keary,boy,Irish
Fabe,boy,Latin
Octavia,girl,Latin
Sigornee,girl,Unknown
